"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","◆観音兵の噂","◆关于观音兵的传闻","","False","main_10005_002d0048","",""
"","安岡の紹介で館を訪れた新たな印人。『観音兵』とはその男、","在安冈的介绍下，新的印人到访了宅邸。『观音兵』正是在大门的","","False","main_10005_002e0048","",""
"","大門の話に登場する謎の存在だった。話は第二次大戦中の際、","叙述中登场的神秘存在。故事要从他发现了在二战期间担任过军医","","False","main_10005_002f0048","",""
"","軍医だった祖父の残したカルテを、彼が見つけた事に始まる。","的祖父，遗留下的诊疗记录开始。","","False","main_10005_00300048","",""
"","そこにはなぜか、シルシらしき痣の記録があったというのだ。","不知为何，上面有记录提到了一种类似印记的红斑。所有带有这种","","False","main_10005_00310048","",""
"","その痣の付いた者は皆、陸軍のとある研究所にいた者たちで","红斑的人，都曾是陆军某个研究所的人员。而在战争末期，那里正","","False","main_10005_00320048","",""
"","そこでは戦争末期、観音兵と呼ばれる何かが開発されていた。","在开发着一种被称为观音兵的东西。","","False","main_10005_00330048","",""
"","◆観音兵の噂","◆关于观音兵的传闻","","False","main_10005_00430048","",""
"","その観音兵がどんな物であるかは、よく分からないらしいが、","虽然不太清楚那个观音兵是什么，但如果是与研究有关的人员都被","","False","main_10005_00440048","",""
"","研究に関わった者たちがシルシを刻まれたという事ならば、","刻上了印记，那么可以推测，他们当时正在将怪异开发成武器。","","False","main_10005_00450048","",""
"","怪異を兵器として開発していた、と考える事もできなくない。","但为什么到了现在，研究相关者后代的大门、以及祖父曾是研究所","","False","main_10005_00460048","",""
"","だが今になってなぜ、研究関係者の子孫の大門、そして同じく","技术大尉的广尾，身上都突然出现了印记呢……","","False","main_10005_00470048","",""
"","祖父が研究所の技術大尉だったという広尾に突然シルシが……","难道说是观音兵的诅咒加强了，才作祟在后代身上吗……","","False","main_10005_00480048","",""
"","観音兵の呪いが強まり、子孫を祟ったとでもいうのか……","难道说是观音兵的诅咒加强了，才作祟在其后代子孙身上吗……","","False","main_10005_00490048","",""
"","◆観音兵の噂","◆关于观音兵的传闻","","False","main_10005_00590048","",""
