"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","◆くちゃら花嫁の噂","◆关于咀嚼新娘的传闻","","False","main_10003_00290048","",""
"","９０年代も終盤という現在、通信のインフラ整備の進歩で、","90年代末期的现在，由于通信设备的进步","","False","main_10003_002a0048","",""
"","インターネットの某大型掲示板の利用者が増えていると聞く。","某网络大型论坛的用户也逐步变多","","False","main_10003_002b0048","",""
"","くちゃら花嫁は、その掲示板から広がった都市伝説だという。","而咀嚼新娘，就是那个论坛上广为流传的都市传说。","","False","main_10003_002c0048","",""
"","その噂はこうだ。","那个传闻是这么说的。","","False","main_10003_002d0048","",""
"","Ｈ市には幽霊と話す事ができる、とある電話ボックスがある。","H市里有一个可以和幽灵通话的电话亭。","","False","main_10003_002e0048","",""
"","そのボックスへ入って待つと、突然電話が鳴るというのだ。","进入那个电话亭里等上一段时间，电话铃声就会突然响起。","","False","main_10003_002f0048","",""
"","◆くちゃら花嫁の噂","◆关于咀嚼新娘的传闻","","False","main_10003_003f0048","",""
"","電話に出ると……くちゃくちゃ……という不気味な音……","接起电话后……就会传来“吧唧吧唧”这一令人感到毛骨悚然的声音……","","False","main_10003_00400048","",""
"","その後、女の声で「あなた見たの？」と聞いてくる。","之后，就会有一个女人问你“你看到了吗”。","","False","main_10003_00410048","",""
"","噂によればそこで「見てない」と答えると会話は続き……","根据传闻所说如果你回答“没看到”通话就会继续下去……","","False","main_10003_00420048","",""
"","今度は「何が見たいの？」と聞かれるという。","这次她又会问你“你想看什么？”。","","False","main_10003_00430048","",""
"","実際に、行方不明になったペットの居場所を教えてもらい","而且真的有询问宠物丢失地点并最后找到了宠物的人","","False","main_10003_00440048","",""
"","探し当てた者もいるというのだから、不思議な話だ。","真是不可思议。","","False","main_10003_00450048","",""
"","◆くちゃら花嫁の噂","◆关于咀嚼新娘的传闻","","False","main_10003_00550048","",""
"","そんな訳で、人探しや失せ物探しの相談などで、この幽霊に","因此，很多人在寻找某人或咨询失物时，都会","","False","main_10003_00560048","",""
